worker_id,work_type,no_of_workers,time_takes_by_each_worker,complete_work_duration,rating
1,7,2,5,7,3.5
2,5,7,8,6,1.8
3,2,10,5,10,2.0
4,3,10,9,9,3.8
5,5,8,7,5,3.1
6,6,5,9,4,2.3
7,3,6,5,5,1.2
8,3,6,7,2,2.8
9,7,10,7,6,1.9
10,1,9,7,10,4.9
11,7,3,5,3,2.6
12,4,3,7,2,2.5
13,4,3,6,1,2.1
14,4,2,6,1,2.2
15,8,9,5,1,2.1
16,8,2,7,2,1.5
17,6,1,6,7,4.6
18,2,9,9,7,1.3
19,6,8,7,7,3.9
20,2,6,5,8,3.0
21,2,5,9,4,4.7
22,8,9,7,9,2.4
23,6,8,9,2,3.4
24,5,2,8,5,1.1
25,5,3,7,2,4.3
26,3,7,6,10,4.3
27,5,6,8,7,3.7
28,8,6,9,5,3.4
29,4,1,5,4,3.8
30,2,6,9,9,4.0
31,2,9,6,10,3.7
32,8,5,9,7,2.5
33,1,8,9,7,3.8
34,2,6,5,4,4.7
35,7,7,6,6,3.8
36,4,4,7,4,1.4
37,4,4,7,7,3.0
38,4,10,6,10,2.4
39,7,7,5,8,3.3
40,6,2,6,4,3.6
41,5,10,7,1,1.6
42,4,8,9,4,3.1
43,3,10,7,4,2.9
44,4,10,6,7,1.2
45,4,9,9,9,2.8
46,7,1,9,4,4.1
47,8,10,10,9,4.2
48,2,7,7,6,1.2
49,7,2,6,2,2.4
50,2,1,6,2,4.6
51,2,10,9,5,1.1
52,1,2,10,7,4.4
53,6,7,9,5,4.7
54,3,5,10,1,3.0
55,8,7,5,1,4.6
56,5,1,8,3,1.2
57,7,9,9,4,4.9
58,4,2,9,9,2.9
59,2,8,6,5,4.0
60,5,8,6,10,4.8
61,5,8,9,10,2.5
62,6,2,6,10,1.5
63,3,10,6,1,3.0
64,4,10,8,5,4.8
65,4,9,10,2,3.6
66,7,4,8,7,4.8
67,5,5,5,1,2.6
68,6,7,9,2,4.3
69,5,8,10,6,4.8
70,4,10,7,9,2.1
71,1,10,10,6,1.6
72,6,1,8,1,4.5
73,3,8,8,10,2.1
74,8,9,6,2,3.7
75,6,1,6,6,4.0
76,8,4,7,9,4.4
77,5,2,9,4,2.7
78,4,10,10,1,1.9
79,7,5,8,5,3.9
80,6,7,7,1,4.6
81,1,4,7,8,2.0
82,7,3,9,1,4.9
83,3,6,7,6,2.3
84,3,5,5,10,4.1
85,5,2,7,7,1.7
86,5,2,8,5,2.4
87,1,7,8,9,1.5
88,4,9,6,5,3.0
89,4,9,8,2,2.8
90,7,4,9,6,3.4
91,5,7,9,8,3.3
92,1,5,6,10,2.7
93,6,6,5,10,2.1
94,4,10,9,10,1.5
95,5,6,5,8,4.8
96,1,9,6,2,4.8
97,3,4,7,2,2.3
98,3,3,5,1,4.7
99,8,7,9,7,3.2
100,1,9,5,8,1.3
101,3,3,6,9,2.8
102,3,10,7,5,2.0
103,6,6,6,9,4.9
104,6,10,9,4,2.2
105,3,6,8,3,4.1
106,4,6,7,7,2.2
107,3,8,7,6,3.2
108,5,8,8,3,2.0
109,6,8,9,7,2.5
110,7,3,5,9,4.6
111,4,1,7,9,4.1
112,7,1,10,8,4.3
113,8,8,8,8,4.4
114,1,9,5,5,5.0
115,1,4,10,1,3.1
116,1,3,6,5,3.5
117,5,2,7,3,4.0
118,8,5,8,5,3.3
119,6,6,8,7,1.4
120,3,2,8,4,2.5
121,7,8,10,8,4.9
122,2,8,10,2,4.2
123,1,1,10,6,3.5
124,3,1,9,4,1.4
125,8,7,7,3,1.2
126,6,5,7,6,4.9
127,2,8,8,8,1.9
128,6,1,9,5,3.8
129,7,10,5,2,4.8
130,7,10,5,9,2.1
131,6,1,6,7,2.4
132,2,5,7,7,4.7
133,4,3,5,8,3.1
134,7,9,7,10,4.1
135,4,3,5,9,4.5
136,6,10,9,2,2.4
137,8,9,7,9,3.0
138,5,6,8,6,1.6
139,8,3,10,6,3.4
140,7,9,6,10,2.4
141,7,9,5,9,1.0
142,6,8,9,8,3.7
143,2,1,8,10,1.5
144,7,5,8,3,2.0
145,5,1,6,9,2.8
146,8,1,7,7,3.3
147,4,3,9,8,2.7
148,4,1,5,4,1.7
149,3,4,10,8,2.1
150,4,7,10,4,1.3
151,6,7,5,9,4.9
152,1,6,6,3,4.0
153,6,10,9,5,1.3
154,6,10,7,6,3.6
155,4,2,5,10,2.3
156,8,8,6,9,3.7
157,7,4,5,4,2.1
158,8,10,10,7,3.7
159,3,3,7,6,1.4
160,5,1,9,10,3.3
161,3,1,10,8,4.4
162,6,1,5,7,1.9
163,7,1,9,10,2.0
164,6,1,6,9,1.1
165,5,7,6,5,5.0
166,7,1,9,9,2.1
167,4,8,6,4,1.6
168,8,3,5,4,4.4
169,4,1,10,7,2.7
170,3,3,10,2,3.8
171,5,9,6,4,3.6
172,4,2,7,3,3.5
173,7,1,8,2,4.7
174,7,7,9,3,3.9
175,6,10,6,1,1.9
176,3,6,8,8,2.5
177,1,3,7,5,3.5
178,2,4,8,8,3.1
179,5,10,8,6,1.8
180,6,4,5,6,1.1
181,6,4,9,7,2.7
182,2,6,6,7,2.7
183,7,4,6,1,3.7
184,4,2,7,6,3.1
185,3,7,8,9,1.7
186,5,1,10,3,3.8
187,6,3,5,10,1.3
188,4,1,7,8,3.9
189,1,10,7,4,1.9
190,6,7,5,1,3.9
191,6,8,10,5,1.8
192,7,1,6,10,1.7
193,3,7,7,7,4.8
194,5,7,5,6,1.0
195,4,4,10,9,2.3
196,1,10,6,4,4.3
197,8,5,5,4,4.7
198,2,4,5,3,1.1
199,5,6,5,3,1.4
200,7,2,5,9,4.5
201,4,7,6,4,2.4
202,3,6,6,10,3.2
203,4,5,10,6,2.7
204,5,10,6,9,2.7
205,5,2,9,2,3.9
206,2,8,5,7,1.3
207,5,10,6,10,4.9
208,5,6,9,7,1.9
209,6,2,10,2,4.1
210,1,2,10,6,1.9
211,6,5,5,10,4.7
212,3,7,10,2,2.2
213,8,7,6,2,1.2
214,2,3,6,9,3.1
215,3,3,10,2,1.9
216,8,8,10,10,1.1
217,7,1,7,6,2.1
218,4,5,5,3,3.6
219,8,10,8,5,1.5
220,6,10,9,1,3.7
221,3,2,9,6,3.5
222,7,10,6,10,4.9
223,4,10,8,4,4.8
224,6,9,5,5,4.2
225,4,6,5,1,2.8
226,3,5,8,1,3.8
227,4,3,9,3,1.1
228,3,5,6,4,1.7
229,5,10,7,4,3.1
230,7,1,5,4,4.8
231,4,9,9,8,1.6
232,4,7,8,8,3.8
233,3,9,6,3,4.3
234,4,3,6,1,3.3
235,2,7,6,6,2.4
236,1,8,8,2,1.9
237,5,5,10,10,4.3
238,4,10,10,10,3.2
239,5,9,9,8,2.6
240,6,9,7,2,3.9
241,6,10,6,3,2.2
242,6,6,9,1,4.8
243,3,7,6,2,1.7
244,8,9,10,6,3.2
245,8,3,5,3,1.5
246,1,1,6,1,4.6
247,4,10,5,5,1.9
248,8,5,10,1,3.0
249,2,2,9,7,3.6
250,4,10,9,10,4.9
251,6,10,6,7,2.7
252,3,9,7,4,3.8
253,2,6,5,1,4.1
254,7,2,7,8,4.8
255,6,2,10,10,2.3
256,7,4,9,5,3.1
257,4,10,5,4,1.2
258,6,10,7,5,3.0
259,3,8,5,6,1.1
260,8,10,5,1,4.3
261,3,2,9,2,3.2
262,2,5,10,8,3.8
263,5,1,5,4,3.9
264,1,9,6,5,1.3
265,3,6,7,8,4.4
266,7,4,7,4,1.4
267,8,2,7,6,1.4
268,7,7,8,1,3.8
269,8,5,7,5,1.8
270,6,6,10,9,4.5
271,3,7,6,9,3.9
272,3,5,7,6,3.4
273,7,8,9,5,2.2
274,7,6,5,6,2.1
275,2,9,9,3,1.4
276,6,6,8,6,1.1
277,7,5,5,4,3.9
278,7,6,6,3,2.3
279,1,9,8,2,2.1
280,2,7,10,5,1.3
281,1,1,10,1,2.4
282,6,3,9,10,1.1
283,1,9,9,9,2.1
284,5,5,5,3,2.0
285,6,9,10,1,2.9
286,1,10,6,1,3.1
287,4,7,7,10,1.8
288,7,1,10,1,2.6
289,7,2,9,7,2.2
290,2,5,9,10,4.6
291,3,8,10,8,1.1
292,4,6,8,3,1.4
293,2,6,6,3,1.5
294,1,7,7,10,1.1
295,6,5,10,8,1.6
296,1,8,8,4,3.5
297,7,5,7,6,2.4
