worker_id,work_type,no_of_workers,time_takes_by_each_worker,complete_work_duration,rating
1,5,10,9,8,3.4
2,2,3,7,3,4.0
3,3,3,7,1,1.8
4,6,1,5,9,2.8
5,2,7,7,4,2.2
6,8,9,5,9,1.7
7,3,5,10,5,3.7
8,7,10,7,1,4.5
9,1,1,9,1,1.9
10,3,8,9,3,3.6
11,3,6,9,5,2.8
12,5,4,5,7,2.7
13,4,10,7,10,3.9
14,1,5,7,3,4.0
15,4,7,6,6,1.5
16,1,4,9,7,3.6
17,6,10,5,2,4.2
18,5,1,9,10,2.0
19,5,9,6,7,4.9
20,7,10,8,2,1.8
21,3,1,6,10,2.5
22,3,10,8,2,1.4
23,3,3,9,8,2.2
24,4,3,7,6,1.5
25,3,10,8,8,1.2
26,6,6,10,2,1.7
27,3,6,10,9,4.0
28,8,1,10,10,2.8
29,4,7,9,9,3.0
30,4,2,6,5,4.8
31,8,6,6,6,4.6
32,8,2,7,8,3.1
33,5,10,7,3,2.6
34,4,10,10,4,2.6
35,6,5,10,8,3.9
36,4,2,10,3,4.0
37,8,2,8,7,1.1
38,8,2,6,2,2.7
39,2,4,7,1,4.7
40,8,10,9,4,3.6
41,1,9,7,1,1.7
42,4,1,8,3,3.7
43,1,5,7,9,2.6
44,8,6,10,3,4.8
45,4,4,6,3,2.5
46,1,9,5,7,1.3
47,1,1,7,5,3.0
48,4,10,6,10,1.7
49,4,2,10,10,4.8
50,7,7,5,5,1.8
51,3,3,10,1,2.6
52,8,9,5,2,3.1
53,1,8,8,6,3.0
54,8,10,6,9,2.2
55,4,3,5,8,4.2
56,4,1,10,2,3.2
57,3,1,5,2,2.3
58,8,4,8,5,4.2
59,3,7,7,6,4.7
60,1,2,7,5,3.7
61,1,4,7,4,3.4
62,3,4,5,2,1.7
63,4,6,10,6,2.4
64,3,2,7,6,1.6
65,7,7,6,1,3.4
66,3,2,7,4,3.4
67,2,7,9,7,3.0
68,1,7,8,3,3.5
69,1,4,8,5,3.6
70,1,3,10,6,3.7
71,2,1,8,10,4.0
72,5,7,7,9,4.2
73,5,1,9,8,4.9
74,1,2,7,2,1.5
75,6,8,6,3,3.4
76,2,9,6,4,1.5
77,2,2,10,5,3.5
78,8,6,5,2,3.2
79,1,3,5,8,4.3
80,3,5,6,3,3.3
81,8,2,10,2,1.1
82,6,9,10,10,1.1
83,4,4,10,2,1.6
84,5,3,7,5,3.7
85,2,7,8,10,2.5
86,8,5,5,6,3.7
87,1,3,9,5,4.0
88,7,9,10,9,3.2
89,4,6,6,1,1.1
90,5,4,10,10,2.5
91,7,10,8,10,3.8
92,8,5,7,6,1.4
93,2,10,9,7,1.5
94,6,3,6,1,1.2
95,6,9,9,10,4.0
96,4,10,9,7,2.3
97,5,6,6,2,2.7
98,5,2,8,6,1.2
99,1,4,6,9,4.0
100,1,2,6,10,1.8
101,8,7,8,1,4.7
102,3,4,7,3,1.4
103,4,5,10,2,1.5
104,1,8,6,10,4.2
105,4,4,7,1,2.3
106,8,6,5,2,5.0
107,7,5,9,9,4.4
108,3,1,6,4,1.8
109,7,5,5,5,2.9
110,4,3,9,2,2.0
111,3,1,8,2,2.9
112,1,8,5,6,2.0
113,7,4,6,7,3.8
114,5,4,8,5,1.3
115,1,3,9,1,1.4
116,8,5,7,7,4.5
117,3,8,6,4,4.6
118,4,8,10,7,4.1
119,7,3,8,3,2.6
120,5,2,6,9,4.5
121,4,4,9,9,1.2
122,3,7,5,7,2.2
123,3,4,6,8,2.2
124,3,6,8,9,2.3
125,3,1,6,10,1.9
126,5,9,9,3,2.1
127,8,3,9,4,2.5
128,6,10,6,8,1.5
129,6,3,8,3,3.6
130,4,3,8,1,1.4
131,3,5,8,5,4.0
132,8,9,10,7,4.6
133,4,2,10,8,3.5
134,7,3,8,9,4.2
135,5,1,6,2,4.0
136,5,8,7,1,4.4
137,8,3,9,2,3.0
138,6,4,10,4,2.5
139,1,10,5,1,4.3
140,1,1,6,8,2.3
141,8,7,7,8,3.6
142,6,10,6,7,1.6
143,8,1,5,6,3.7
144,1,2,9,10,3.3
145,2,3,8,2,4.2
146,6,6,8,3,4.0
147,1,3,9,4,4.5
148,5,1,10,8,3.9
149,1,9,5,7,1.8
150,8,2,7,8,3.9
151,3,8,6,8,1.9
152,5,3,8,10,1.2
153,1,1,9,6,3.6
154,7,2,5,9,4.4
155,3,8,10,3,2.0
156,3,4,10,2,3.2
157,6,3,8,1,1.6
158,6,2,7,3,3.1
159,2,7,10,9,1.4
160,8,2,9,4,3.8
161,5,4,10,6,4.3
162,6,1,7,5,4.0
163,2,8,10,3,2.4
164,5,6,6,6,4.1
165,1,6,9,1,4.2
166,2,6,10,3,4.4
167,8,5,6,5,3.4
168,8,7,9,10,1.9
169,5,3,10,7,4.8
170,1,7,7,1,4.8
171,8,10,10,4,2.4
172,7,4,7,10,4.7
173,7,9,6,10,1.5
174,1,8,9,2,3.8
175,6,4,5,6,2.2
176,5,1,8,3,3.1
177,8,4,9,8,1.2
178,6,4,7,3,2.2
179,4,8,6,6,1.7
180,4,6,6,1,3.6
181,6,9,10,8,3.4
182,3,9,9,1,2.6
183,7,10,8,10,1.9
184,1,9,7,8,2.9
185,4,8,6,1,4.0
186,1,5,5,1,4.3
187,1,1,5,7,2.1
188,7,1,5,2,1.5
189,6,9,9,10,1.5
190,1,10,7,8,4.9
191,5,8,10,1,1.9
192,1,5,8,8,3.9
193,8,9,5,9,2.6
194,6,5,5,5,4.8
195,5,3,10,10,1.4
196,1,4,5,5,4.9
197,5,10,7,7,2.4
198,5,4,5,2,4.6
199,5,9,10,1,4.7
200,3,6,8,10,4.9
201,4,9,7,9,4.3
202,8,6,10,5,1.5
203,2,9,7,9,1.4
204,7,6,5,2,4.2
205,1,2,6,10,2.0
206,4,10,9,4,1.8
207,3,4,6,1,3.4
208,4,5,9,4,1.7
209,7,7,9,6,4.8
