worker_id,work_type,no_of_workers,time_takes_by_each_worker,complete_work_duration,rating
1,1,7,6,1,3.3
2,5,5,7,6,3.0
3,2,9,9,1,3.4
4,6,2,10,8,4.3
5,2,2,10,4,2.2
6,3,2,6,8,4.2
7,7,2,8,4,4.5
8,3,3,7,6,3.4
9,4,8,8,6,4.9
10,1,2,9,10,4.8
11,4,2,6,2,2.1
12,8,10,7,8,3.0
13,3,5,6,8,1.4
14,2,8,9,8,1.6
15,6,5,5,1,3.1
16,1,5,9,2,4.2
17,2,9,10,4,1.5
18,7,10,10,4,4.3
19,1,5,9,9,4.7
20,1,1,7,1,1.5
21,1,10,9,8,4.6
22,5,1,5,2,1.3
23,1,6,10,7,1.8
24,1,6,10,2,4.2
25,4,3,6,3,1.4
26,6,6,7,3,1.5
27,7,8,7,1,1.2
28,1,8,10,8,2.1
29,7,2,9,7,4.1
30,1,8,9,9,1.2
31,1,3,7,7,2.2
32,4,10,8,1,1.5
33,4,10,8,5,1.2
34,6,3,7,8,3.1
35,2,3,8,4,2.4
36,8,7,9,2,4.0
37,7,10,9,2,4.1
38,7,9,5,6,4.7
39,5,9,10,5,3.1
40,2,7,8,7,3.4
41,3,6,8,9,1.5
42,2,7,9,5,4.2
43,6,10,10,9,2.8
44,1,9,5,6,4.8
45,6,2,7,5,3.4
46,8,9,9,5,4.9
47,6,10,6,4,3.4
48,4,5,9,2,4.4
49,8,5,6,7,2.2
50,8,5,8,10,3.4
51,2,5,8,9,4.3
52,2,10,6,1,3.2
53,6,5,6,1,2.7
54,1,10,5,3,4.8
55,3,5,7,9,3.2
56,8,10,9,8,1.7
57,7,5,10,2,5.0
58,2,5,7,4,3.1
59,3,6,5,3,1.3
60,4,8,9,10,4.9
61,2,1,7,5,3.9
62,7,6,7,9,1.1
63,8,9,9,10,4.0
64,7,7,9,9,4.1
65,8,10,8,5,1.6
66,5,3,7,3,1.5
67,1,3,8,10,5.0
68,5,3,8,4,2.5
69,3,4,5,5,4.9
70,8,4,6,1,1.2
71,1,4,6,5,4.6
72,3,10,9,8,4.2
73,5,7,10,8,4.0
74,3,4,10,8,4.5
75,2,10,9,9,2.6
76,4,4,9,2,3.8
77,6,10,6,2,3.6
78,5,8,5,6,2.6
79,6,8,7,4,3.7
80,5,1,6,5,1.2
81,2,8,5,5,3.3
82,7,4,7,4,4.1
83,8,9,10,5,1.7
84,7,9,5,1,1.1
85,7,6,10,7,3.9
86,4,5,10,3,1.6
87,8,1,7,1,2.5
88,6,9,5,8,2.9
89,4,7,7,10,2.7
90,1,4,8,10,2.4
91,4,2,5,2,3.5
92,8,8,8,5,1.9
93,7,3,10,4,1.4
94,5,6,9,1,3.5
95,8,9,7,10,1.2
96,2,4,10,7,4.3
97,8,8,7,10,1.2
98,3,9,8,3,4.4
99,2,7,8,2,2.4
100,4,9,9,10,4.1
101,7,8,8,2,3.1
102,7,7,10,9,1.4
103,2,5,7,4,1.8
104,5,8,9,3,4.7
105,7,2,9,6,1.8
106,7,2,9,1,3.6
107,3,3,9,5,4.0
108,1,6,9,9,3.3
109,4,5,10,5,4.0
110,1,7,10,5,2.0
111,4,6,10,7,2.7
112,6,3,5,9,4.4
113,1,4,6,3,4.6
114,7,2,10,9,1.6
115,1,10,8,4,2.7
116,7,3,5,5,3.1
117,3,2,5,5,4.6
118,8,4,6,10,3.3
119,4,4,8,7,3.1
120,7,4,5,10,3.9
121,5,4,5,3,2.4
122,8,7,5,3,4.0
123,5,5,10,10,4.4
124,1,5,8,8,3.8
125,7,5,10,2,1.1
126,7,9,8,1,3.2
127,3,6,7,1,2.1
