worker_id,work_type,no_of_workers,time_takes_by_each_worker,complete_work_duration,rating
1,7,6,10,10,2.0
2,8,1,5,5,3.8
3,1,4,8,8,1.1
4,4,7,7,2,3.6
5,8,3,10,8,3.2
6,2,2,7,9,1.0
7,6,8,8,7,2.0
8,3,10,6,7,2.4
9,1,6,9,8,4.3
10,5,10,5,1,2.4
11,4,6,8,8,4.3
12,8,7,5,9,3.5
13,5,4,10,2,2.2
14,8,6,7,2,3.9
15,7,1,6,3,1.8
16,8,8,5,9,4.5
17,8,2,6,2,2.6
18,2,7,7,10,4.7
19,5,8,6,5,2.7
20,7,5,6,5,1.5
21,7,8,5,9,3.8
22,7,7,8,10,2.4
23,5,1,8,6,2.1
24,7,1,9,4,2.3
25,1,7,8,5,4.0
26,3,5,6,4,1.1
27,6,6,8,1,4.9
28,1,4,5,3,1.6
29,2,8,9,3,4.4
30,8,6,9,3,5.0
31,1,4,9,8,2.9
32,1,3,6,9,2.3
33,2,10,6,3,3.5
34,6,1,8,10,2.2
35,5,1,6,5,4.0
36,3,2,8,7,3.3
37,3,3,10,6,4.7
38,7,2,5,2,1.3
39,7,6,10,2,2.6
40,4,2,8,5,2.1
41,1,6,8,4,4.7
42,8,1,8,7,2.4
43,6,2,5,6,4.7
44,5,1,8,9,1.8
45,4,6,9,9,3.4
46,3,2,9,2,5.0
47,2,2,8,5,4.6
48,2,3,7,4,3.0
49,2,2,9,8,3.5
50,6,4,5,6,4.0
51,2,4,8,5,2.1
52,4,10,7,4,4.2
53,6,5,8,9,4.0
54,3,9,10,7,1.3
55,3,8,7,9,1.3
56,3,8,6,4,1.6
57,8,2,9,2,4.6
58,2,9,6,10,4.5
59,5,1,6,7,3.4
60,7,6,5,10,4.5
61,8,5,7,1,1.8
62,2,3,6,7,1.9
63,7,6,6,4,3.9
64,1,9,7,3,3.9
65,2,10,10,5,1.8
66,4,2,9,10,4.3
67,2,5,7,6,4.5
68,1,2,7,9,4.0
69,6,6,5,6,3.2
70,6,3,7,10,1.5
71,2,5,9,7,2.5
72,6,7,9,4,5.0
73,3,3,6,2,4.3
74,6,1,7,10,4.1
75,7,5,6,10,3.7
76,8,3,6,2,4.5
77,7,1,7,8,1.7
78,5,4,9,10,3.7
79,4,1,10,5,1.6
80,2,5,9,6,3.3
81,2,8,6,5,2.1
82,8,7,7,1,2.7
83,5,5,9,2,4.2
84,7,5,6,7,1.3
85,1,10,8,5,2.0
86,4,7,5,2,2.0
87,1,7,7,8,4.4
88,2,8,9,6,5.0
89,4,9,6,10,3.3
90,4,10,9,9,3.6
91,5,5,7,10,4.2
92,8,8,5,1,2.1
93,2,9,8,6,3.9
94,3,2,9,2,4.2
95,5,10,9,5,3.6
96,1,1,7,4,3.9
97,8,4,10,6,2.1
98,8,7,8,9,3.2
99,8,4,7,1,3.3
100,1,3,6,7,3.3
101,5,7,10,3,1.9
102,6,5,6,9,2.5
103,8,8,6,7,2.4
104,7,10,7,6,4.2
105,2,2,8,6,2.3
106,2,5,7,7,3.0
107,1,7,5,2,2.4
108,1,7,8,1,4.2
109,6,4,5,8,5.0
110,8,8,10,6,1.7
111,6,5,9,9,1.5
112,1,1,9,10,3.3
113,4,5,8,7,3.0
114,7,1,8,5,2.4
115,2,5,7,9,3.4
116,3,2,5,7,3.9
117,8,4,10,4,2.3
118,3,1,7,6,1.7
119,8,1,8,2,1.9
120,3,5,6,7,3.3
121,3,6,5,4,2.1
122,3,2,5,6,2.9
123,3,9,10,9,4.0
124,2,2,5,7,2.8
125,3,7,5,5,1.5
126,6,6,5,7,2.6
127,2,8,6,9,3.3
128,8,6,5,7,4.0
129,3,10,7,5,2.1
130,1,10,9,9,2.7
131,5,6,5,5,4.9
132,5,4,9,8,4.5
133,4,2,8,9,4.2
134,6,3,5,10,1.1
135,7,1,9,6,4.0
136,8,8,10,8,2.1
137,8,2,9,6,2.9
138,7,7,5,4,1.1
139,1,9,7,8,2.5
140,1,10,9,7,1.8
141,4,3,10,4,3.4
142,8,9,10,1,3.0
143,4,5,9,2,4.1
144,7,10,9,1,1.9
145,3,9,5,7,2.1
146,6,2,5,10,3.0
147,3,6,9,9,2.4
148,3,9,9,4,3.0
149,6,8,7,1,2.9
150,7,8,7,5,1.3
151,6,7,10,1,3.0
152,4,7,5,9,2.8
153,3,5,8,9,1.3
154,5,8,6,8,1.9
155,6,4,5,3,2.5
156,1,6,9,2,4.2
157,8,3,5,6,3.7
158,3,6,9,9,1.2
159,8,2,6,7,3.6
160,2,1,7,6,1.0
161,5,5,7,3,2.8
162,6,5,10,2,4.2
163,8,10,9,6,1.9
164,6,3,6,8,1.1
165,2,7,8,4,4.0
166,2,10,5,6,2.7
167,1,8,6,4,3.2
168,2,4,9,1,4.7
169,4,6,5,4,4.7
170,8,6,10,9,2.8
171,6,3,7,1,2.2
172,2,9,10,4,3.5
173,4,8,9,2,1.5
174,7,4,10,10,1.1
175,2,1,9,4,3.9
176,7,7,9,7,2.0
177,5,9,7,8,2.0
178,3,7,8,4,3.1
179,8,9,9,6,2.3
180,7,4,5,9,4.9
181,2,6,6,4,4.0
182,6,3,9,3,3.9
183,4,3,8,3,4.9
184,4,1,10,3,1.7
185,6,4,6,9,4.1
186,1,7,8,6,1.1
187,7,1,10,7,2.8
188,7,6,9,10,2.4
189,7,10,10,6,2.7
190,5,4,5,6,4.8
191,1,10,9,8,2.1
192,6,2,10,1,4.2
193,4,6,8,2,2.0
194,1,10,7,8,5.0
195,5,8,7,1,3.4
196,7,1,6,7,3.0
197,8,4,9,6,4.5
